Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,10,2017-07-17T21:30:00Z,3,CMP 237,2.56,8.24,128,0.656,0.288,0.267,2.38,1.51,0.54,0.02,0.95,10.6,127.8,17.1,237,2017-07-17T21:30:00Z,2017
FM,11,2017-07-17T22:30:00Z,3,CMP 238,2.85,8.18,69.5,0.592,0.317,0.295,2.35,1.64,0.51,0.03,1.1,9.9,69.6,9.9,238,2017-07-17T22:30:00Z,2017
FM,12,2017-07-17T23:30:00Z,3,CMP 239,3.09,8.18,72.2,0.362,0.207,0.184,1.39,1.1,0.38,0.03,0.69,8,67.2,10.8,239,2017-07-17T23:30:00Z,2017
FM,13,2017-07-18T00:30:00Z,3,CMP 240,2.74,8.21,48.1,0.463,0.331,0.305,1.94,1.6,0.47,0.02,1.11,10.6,42.1,8.5,240,2017-07-18T00:30:00Z,2017
FM,14,2017-07-18T01:30:00Z,3,CMP 241,2.7,8.24,56.5,0.592,0.397,0.374,2.49,1.92,0.57,0.01,1.34,11.3,51.2,9.4,241,2017-07-18T01:30:00Z,2017
FM,15,2017-07-18T02:30:00Z,3,CMP 242,2.75,8.28,60.2,0.629,0.489,0.419,2.44,2.05,0.51,0.02,1.52,11.3,53.5,10,242,2017-07-18T02:30:00Z,2017
FM,16,2017-07-18T03:30:00Z,3,CMP 243,2.84,8.34,52.9,0.601,0.459,0.436,2.43,2.07,0.54,0.02,1.51,11.6,47.3,9.4,243,2017-07-18T03:30:00Z,2017
FM,17,2017-07-18T04:30:00Z,3,CMP 244,2.88,8.24,52.4,0.629,0.454,0.432,2.55,1.99,0.55,0.03,1.4,12.2,50.4,10.4,244,2017-07-18T04:30:00Z,2017
FM,18,2017-07-18T05:30:00Z,3,CMP 245,2.9,8.29,56.2,0.62,0.446,0.419,2.51,1.97,0.64,0.02,1.3,12.4,52.5,11.2,245,2017-07-18T05:30:00Z,2017
FM,19,2017-07-18T06:30:00Z,3,CMP 246,2.94,8.27,85.2,0.73,0.45,0.425,2.56,1.97,0.67,0.04,1.26,12.9,86.4,12.6,246,2017-07-18T06:30:00Z,2017
