Bottle,Date,Site,ID,DOC_ppm,DOC_rep2,TN_ppm,TN_rep2,NO3_ppm,NO3_rep2,NH4_ppm,NH4_rep2,TP_ppm,TP_rep2,PO4_PPM,PO4_rep2
12,9/24/2018,PT,CMP 1172,12.950,,1.545,,1.442,,0.100,,0.895,,0.544,
13,9/24/2018,PT,CMP 1173,12.540,,1.481,,1.345,,0.131401368,,0.914,,0.515,
14,9/24/2018,PT,CMP 1174,12.702,12.770,1.386,,1.271,,0.097741651,,0.789,,0.490,
15,9/24/2018,PT,CMP 1175,12.54773527,,1.362,,1.249,,0.106277272,,0.770,,0.483,
16,9/24/2018,PT,CMP 1176,12.7323204,,1.355,,1.235,,0.10164616,,0.750,,0.491,0.495
17,9/24/2018,PT,CMP 1177,12.61227506,,1.467,,1.368,,0.094588427,,0.837,,0.507,
18,9/24/2018,PT,CMP 1178,13.04726184,,1.549,1.526,1.425,1.423,0.098,0.095379201,0.914,0.923,0.533,
19,9/24/2018,PT,CMP 1179,13.26806723,,1.498,,1.386,,0.090609876,,0.914,,0.534,
20,9/24/2018,PT,CMP 1180,12.7713271,,1.434,,1.334,,0.089006937,,0.895,,0.536,
21,9/24/2018,PT,CMP 1181,14.65244826,,1.400,,1.294,,0.098525844,,0.904,,0.523,
22,9/24/2018,PT,CMP 1182,12.7258189,,1.337,,1.196,1.201,0.130689573,,1.951,,0.463,
23,9/24/2018,PT,CMP 1183,12.64729214,,1.372,,1.279,,0.084970797,,1.019,,0.530,
24,9/24/2018,PT,CMP 1184,13.430,13.18515516,1.430,,1.329,1.328,0.093001943,0.090,0.942,0.942,0.536,0.538
