Site,Bottle,Date,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL
PT,16,6/22/2017,CMP 119,1.81,8.09,104,0.897,0.464,0.39,2.09,1.98,0.65,0.02,1.3,12.8,99.6,16.2
PT,17,6/22/2017,CMP 120,1.93,8.09,147,1.121,0.617,0.48,2.95,2.3,0.68,0.02,1.6,13.7,136.7,20
PT,18,6/22/2017,CMP 121,2.1,8.18,187,1.419,0.667,0.565,2.78,2.62,0.79,0.02,1.81,14.8,158.2,23.3
PT,19,6/22/2017,CMP 122,2.24,8.24,143,1.258,0.68,0.591,2.78,2.61,0.89,0.02,1.7,16.5,157.6,24.4
PT,20,6/22/2017,CMP 123,2.43,7.99,95.9,1.087,0.686,0.582,2.57,2.41,0.92,0.02,1.48,18.3,90.9,16
PT,21,6/22/2017,CMP 124,2.53,8.11,84.4,1.03,0.68,0.566,2.59,2.27,0.92,0.03,1.33,19.8,86.5,15.4
PT,22,6/22/2017,CMP 125,2.55,8.15,70.3,1.068,0.693,0.593,2.62,2.34,0.93,0.02,1.39,17.9,65.8,11.8
PT,23,6/22/2017,CMP 126,2.57,8.11,55.2,0.973,0.737,0.597,2.7,2.48,1.06,0.02,1.39,17.9,54.7,10.2
PT,24,6/22/2017,CMP 127,2.38,8.1,84.9,1.106,0.762,0.651,2.64,2.56,0.96,0.02,1.58,17.8,79.6,12.4
FM,1,6/22/2017,CMP 128,2.2,7.69,71.3,0.668,0.338,0.26,1.42,0.96,0.93,0.02,0,17.7,66.4,11.1
FM,2,6/22/2017,CMP 129,1.63,7.65,172,0.905,0.179,0.131,1.32,0.93,0.69,0.03,0.2,12.4,159.5,27.3
FM,3,6/22/2017,CMP 130,1.43,7.53,105,0.535,0.122,0.073,1.01,0.68,0.64,0.04,0,12.5,108,14.2
FM,4,6/22/2017,CMP 131,1.44,7.63,77.7,0.411,0.141,0.09,1.01,0.83,0.66,0.03,0.15,11.2,72.9,9.3
FM,5,6/22/2017,CMP 132,1.64,7.62,267,1.144,0.166,0.112,1.34,0.78,0.7,0.02,0.06,14.7,230,39.5
FM,6,6/22/2017,CMP 133,1.88,7.65,73.4,0.535,0.274,0.214,1.45,1.26,0.75,0.02,0.49,15.1,74.2,11.2
FM,7,6/22/2017,CMP 134,2.08,7.77,238,1.182,0.401,0.337,2.09,1.81,0.83,0.03,0.96,16,246.9,30
FM,8,6/22/2017,CMP 135,2.12,7.85,334,1.533,0.484,0.387,2.32,2.1,0.9,0.02,1.17,15.7,314.7,48.4
FM,9,6/22/2017,CMP 136,1.98,7.81,99.7,0.744,0.401,0.334,2.03,1.9,0.87,0.03,0.99,15.4,84,10
FM,10,6/22/2017,CMP 137,1.83,7.77,102,0.754,0.312,0.26,2.04,1.78,0.86,0.03,0.9,14.7,116.4,16.8
FM,11,6/22/2017,CMP 138,1.75,7.99,98.8,0.744,0.445,0.361,2.29,2.09,0.79,0.02,1.28,12.8,93.8,13.1
FM,12,6/22/2017,CMP 139,1.81,7.87,84.6,0.659,0.382,0.319,2.04,1.77,0.72,0.02,1.02,14.1,82,11.7
FM,13,6/22/2017,CMP 140,1.58,8.08,216,0.811,0.23,0.189,1.5,1.24,0.54,0.02,0.68,10.3,204.2,24.7
